StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,year_of_birth,sex,aff_com1_likert7,aff_com2_likert7,aff_com3_likert7rev,aff_com4_likert7rev,aff_com5_likert7rev,aff_com6_likert7,contin_com1_likert7,contin_com2_likert7,contin_com3_likert7,contin_com4_likert7,contin_com5_likert7,contin_com6_likert7,norm_com1_likert7rev,norm_com2_likert7,norm_com3_likert7,norm_com4_likert7,norm_com5_likert7,norm_com6_likert7,job_aff1_likert5,job_aff2_likert5,job_aff3_likert5,job_aff4_likert5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,In what year where you born?,What sex are you?,Indicate the extent to which you agree with each of the statements below. - I would be very happy to spend the rest of my career with this organization.,Indicate the extent to which you agree with each of the statements below. - I really feel as if this organization's problems are my own.,"Indicate the extent to which you agree with each of the statements below. - I do not feel a strong sense of ""belonging"" to my organization.","Indicate the extent to which you agree with each of the statements below. - I do not feel ""emotionally attached"" to this organization.","Indicate the extent to which you agree with each of the statements below. - I do not feel like ""part of the family"" at my organization.",Indicate the extent to which you agree with each of the statements below. - This organization has a great deal of personal meaning for me.,"Indicate the extent to which you agree with each of the statements below. - Right now, staying with my organization is a  matter of necessity as much as desire.","Indicate the extent to which you agree with each of the statements below. - It would be very hard for me to leave my organization right now, even if I wanted to.",Indicate the extent to which you agree with each of the statements below. - Too much of my life would be disrupted if I decided I wanted to leave my organization now.,Indicate the extent to which you agree with each of the statements below. - I feel that I have too few options to consider leaving this organization.,"Indicate the extent to which you agree with each of the statements below. - If I had not already put so much of myself into this organization, I might consider working elsewhere.",Indicate the extent to which you agree with each of the statements below. - One of the few negative consequences of leaving this organization would be the scarcity of available alternatives.,Indicate the extent to which you agree with each of the statements below. - I do not feel any obligation to remain with my current employer.,"Indicate the extent to which you agree with each of the statements below. - Even if it were to my advantage, I do not feel it would be right to leave my organization now.",Indicate the extent to which you agree with each of the statements below. - I would feel guilty if I left my organization now.,Indicate the extent to which you agree with each of the statements below. - This organization deserves my loyalty.,Indicate the extent to which you agree with each of the statements below. - I would not leave my organization right now because I have a sense of obligation to the people in it.,Indicate the extent to which you agree with each of the statements below. - I owe a great deal to my organization.,I find real enjoyment in my job,I like my job better than the average person,Most days I am enthusiastic about my job,I feel fairly well satisfied with my job
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}"
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_cusSylGcnia1XFA,,,,,43.51809692,-80.18730164,test,,1961,female,Slightly Agree,Slightly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Moderately Agree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_3KMMVrWs9qMoudU,,,,,43.51809692,-80.18730164,test,,2006,female,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Moderately Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_8Iht6uXXpqYqlym,,,,,43.51809692,-80.18730164,test,,2008,female,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Neutral,Strongly Agree,Disagree,Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_cC88bovugHB1l7E,,,,,43.51809692,-80.18730164,test,,1985,male,Strongly Agree,Moderately Disagree,Slightly Agree,Moderately Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Moderately Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_9z56cdiLzJjyvEG,,,,,43.51809692,-80.18730164,test,,1953,intersex,Strongly Disagree,Moderately Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Moderately Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Moderately Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_6y4hcFBjzQIaTcy,,,,,43.51809692,-80.18730164,test,,1957,intersex,Moderately Agree,Strongly Agree,Moderately Disagree,Slightly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Neither Agree nor Disagree,Moderately Agree,Neutral,Strongly Disagree,Neutral,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_1Gp8Qofa4YdexMi,,,,,43.51809692,-80.18730164,test,,1998,intersex,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Moderately Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_eR4kTFhKi5oE1VA,,,,,43.51809692,-80.18730164,test,,1970,male,Moderately Disagree,Slightly Disagree,Slightly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Slightly Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Moderately Agree,Neither Agree nor Disagree,Agree,Neutral,Strongly Disagree,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_9ZevomfD6ovg8Dk,,,,,43.51809692,-80.18730164,test,,1983,female,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_5prrxheRVFbAw9U,,,,,43.51809692,-80.18730164,test,,1959,female,Moderately Disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Moderately Disagree,Agree,Strongly Agree,Disagree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_bs99IlqJPwfr0UK,,,,,43.51809692,-80.18730164,test,,2008,intersex,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Moderately Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_bNMcCWHhxqEEc0C,,,,,43.51809692,-80.18730164,test,,1982,male,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Disagree,Slightly Agree,Strongly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Agree,Slightly Agree,Strongly Disagree,Moderately Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Neutral,Agree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_80J5b9RLoTG1WF8,,,,,43.51809692,-80.18730164,test,,1983,intersex,Strongly Agree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Moderately Disagree,Strongly Disagree,Neither Agree nor Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Slightly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree
